Detector Type, #keypoints, Detection Time (ms)
FAST,3553,3.253614
FAST,3553,2.753307
FAST,3553,2.778648
FAST,3553,2.813465
BRISK,5668,96.947403
BRISK,5668,97.296494
BRISK,5668,97.440109
BRISK,5668,96.864624
ORB,950,22.468946
ORB,950,22.366028
ORB,950,22.127716
ORB,950,23.242743
AKAZE,2937,205.033539
AKAZE,2937,184.717712
AKAZE,2937,180.777466
AKAZE,2937,180.093536
SIFT,3757,300.629700
SIFT,3757,299.908844
SIFT,3757,309.039429
SIFT,189,15.720738
HARRIS,1710,480.066315
HARRIS,1710,498.419250
HARRIS,1710,482.549255
HARRIS,1710,484.572174
